username,password,last_login,is_superuser,first_name,last_name,email,is_staff,is_active,date_joined,company_id,role,post,department,phone,profile_pic
EMP0009,12345678,26-10-2023 13:12,FALSE,Justin,Lowery,justin@deloitte.com,TRUE,TRUE,31-08-2023,EMP0009,employee,DevOps Engineer,Engineering,4544183344,https://randomuser.me/api/portraits/men/88.jpg
EMP0012,12345678,23-04-2023 20:52,FALSE,Andrew,Sanders,andrew@deloitte.com,TRUE,TRUE,07-03-2023,EMP0012,employee,Product Manager,Research,7151129245,https://randomuser.me/api/portraits/women/78.jpg
EMP0040,12345678,28-01-2025 17:16,FALSE,Wanda,Ruiz,wanda@deloitte.com,TRUE,TRUE,10-02-2023,EMP0040,employee,Senior Software Engineer,Infrastructure,3539835887,https://randomuser.me/api/portraits/women/21.jpg
EMP0056,12345678,30-05-2024 07:12,FALSE,Danielle,Cunningham,danielle@deloitte.com,TRUE,TRUE,18-02-2024,EMP0056,employee,Senior Software Engineer,Infrastructure,1203717180,https://randomuser.me/api/portraits/women/7.jpg
EMP0071,12345678,31-08-2023 02:16,FALSE,Brian,Sandoval,brian@deloitte.com,TRUE,TRUE,01-07-2023,EMP0071,employee,DevOps Engineer,Product Management,5622144276,https://randomuser.me/api/portraits/women/9.jpg
EMP0108,12345678,15-12-2023 19:59,FALSE,Raymond,Jones,raymond@deloitte.com,TRUE,TRUE,13-05-2023,EMP0108,employee,Software Engineer,Product Management,8284125181,https://randomuser.me/api/portraits/men/84.jpg
EMP0130,12345678,10-07-2024 17:31,FALSE,Christine,Carrillo,christine@deloitte.com,TRUE,TRUE,14-08-2023,EMP0130,employee,Data Scientist,Engineering,4332676739,https://randomuser.me/api/portraits/women/90.jpg
EMP0133,12345678,14-10-2024 00:37,FALSE,Michael,Cruz,michael@deloitte.com,TRUE,TRUE,18-10-2023,EMP0133,employee,Data Scientist,Data Science,6716112282,https://randomuser.me/api/portraits/men/17.jpg
EMP0136,12345678,02-11-2024 07:41,FALSE,John,Roberts,john@deloitte.com,TRUE,TRUE,08-10-2023,EMP0136,employee,UX Designer,Product Management,2106044489,https://randomuser.me/api/portraits/women/35.jpg
EMP0173,12345678,18-08-2024 18:30,FALSE,William,Dixon,william@deloitte.com,TRUE,TRUE,11-02-2024,EMP0173,employee,Product Manager,Infrastructure,9757465143,https://randomuser.me/api/portraits/men/80.jpg
EMP0184,12345678,23-08-2023 07:14,FALSE,Brian,Harris,brian@deloitte.com,TRUE,TRUE,25-06-2023,EMP0184,employee,Product Manager,Data Science,9739043618,https://randomuser.me/api/portraits/men/3.jpg
